source_id,cab,file,size
,,mesh_recovery_report.json,355876
1026692235,1026692235.blk_export,Remielle_PasSeul_Body_1_LOD1.glb,1310376
1026692235,1026692235.blk_export,Remielle_Ramiel_Body_1.glb,2431520
1026692235,1026692235.blk_export,Remielle_PasSeul_Body_1_LOD2.glb,781740
1026692235,1026692235.blk_export,Remielle_PasSeul_Body_2_LOD2.glb,510204
1026692235,1026692235.blk_export,Remielle_PasSeul_Body_2.glb,1268340
1026692235,1026692235.blk_export,Remielle_PasSeul_Body_2_LOD1.glb,837404
1142011360,1142011360.blk_export,Remielle_Feather_FX_004.glb,12920
1142011360,1142011360.blk_export,Remielle_Feather_FX_004.glb,12920
1436584839,1436584839.blk_export,Remielle_Cannon_L_01.glb,24148
1436584839,1436584839.blk_export,Remielle_Cannon_L_02.glb,24168
1436584839,1436584839.blk_export,Remielle_Cannon_L_03.glb,24168
1436584839,1436584839.blk_export,Remielle_Cannon_L_04.glb,24176
1436584839,1436584839.blk_export,Remielle_Cannon_R_01.glb,24152
1436584839,1436584839.blk_export,Remielle_Cannon_R_02.glb,24164
1436584839,1436584839.blk_export,Remielle_Cannon_R_03.glb,24168
1436584839,1436584839.blk_export,Remielle_Cannon_R_04.glb,24168
1436584839,1436584839.blk_export,Remielle_Eyebrow.glb,9708
1436584839,1436584839.blk_export,Remielle_Face.glb,334772
1436584839,1436584839.blk_export,Remielle_Floater_02.glb,171840
1436584839,1436584839.blk_export,Remielle_Hair.glb,702840
1436584839,1436584839.blk_export,Remielle_Origin_Body_1.glb,1768828
1436584839,1436584839.blk_export,Remielle_Origin_Body_2.glb,1223504
1436584839,1436584839.blk_export,Remielle_Ramiel_Mask.glb,42964
1436584839,1436584839.blk_export,Remielle_Sticker_01.glb,55156
1436584839,1436584839.blk_export,Remielle_Sticker_02_L.glb,3976
1436584839,1436584839.blk_export,Remielle_Sticker_02_R.glb,3964
1436584839,1436584839.blk_export,Remielle_Weapon_01.glb,1640840
1436584839,1436584839.blk_export,Remielle_Weapon_02_L.glb,32768
1436584839,1436584839.blk_export,Remielle_Weapon_02_R.glb,31232
1436584839,1436584839.blk_export,Remielle_Weapon_03_L.glb,18256
1436584839,1436584839.blk_export,Remielle_Weapon_03_R.glb,18252
1436584839,1436584839.blk_export,Remielle_Weapon_04.glb,14704
1436584839,1436584839.blk_export,Remielle_Weapon_05_L.glb,31416
1436584839,1436584839.blk_export,Remielle_Weapon_05_R.glb,29820
1436584839,1436584839.blk_export,Remielle_Wings.glb,429272
1684021637,1684021637.blk_export,Remielle_FaceMask.glb,40400
1838112281,1838112281.blk_export,Remielle_Origin_WeaponCrateCS_01.glb,374160
1838112281,1838112281.blk_export,Remielle_Origin_WeaponCrateCS_02.glb,74000
1838112281,1838112281.blk_export,Remielle_Origin_WeaponCrateCS_03.glb,94452
1838112281,1838112281.blk_export,Remielle_Origin_WeaponCrateCS_04.glb,1791896
1846016037,1846016037.blk_export,Remielle_Eyebrow.glb,11708
1846016037,1846016037.blk_export,Remielle_Face.glb,274816
1873273914,1873273914.blk_export,Remielle_Feather_FX_004.glb,18236
1986759335,1986759335.blk_export,Remielle_Ramiel_Mask.glb,40416
1986759335,1986759335.blk_export,Remielle_Ramiel_Body_1_LOD1.glb,1769416
1986759335,1986759335.blk_export,Remielle_Ramiel_Body_2.glb,449896
1986759335,1986759335.blk_export,Remielle_Ramiel_Body_2_LOD2.glb,170920
1986759335,1986759335.blk_export,Remielle_Ramiel_Body_2_LOD1.glb,279776
1986759335,1986759335.blk_export,Remielle_Ramiel_Mask_LOD2.glb,21496
1986759335,1986759335.blk_export,Remielle_Ramiel_Body_1_LOD2.glb,1076924
1986759335,1986759335.blk_export,Remielle_Ramiel_Mask_LOD1.glb,31148
2352393242,2352393242.blk_export,Remielle_Ramiel_Mask.glb,40416
2352393242,2352393242.blk_export,Remielle_Ramiel_Body_2.glb,449900
2364458862,2364458862.blk_export,Remielle_Eyebrow.glb,25892
2364458862,2364458862.blk_export,Remielle_Face.glb,1740296
2583518027,2583518027.blk_export,Remielle_Cannon_R_04_LOD1.glb,23896
2583518027,2583518027.blk_export,Remielle_Cannon_L_04.glb,33484
2583518027,2583518027.blk_export,Remielle_Floater_02_LOD2.glb,89252
2583518027,2583518027.blk_export,Remielle_Cannon_L_01_LOD2.glb,14220
2583518027,2583518027.blk_export,Remielle_Eyebrow_LOD2.glb,8040
2583518027,2583518027.blk_export,Remielle_Face.glb,1350572
2583518027,2583518027.blk_export,Remielle_Cannon_L_02_LOD2.glb,14236
2583518027,2583518027.blk_export,Remielle_Eyebrow.glb,31572
2583518027,2583518027.blk_export,Remielle_Cannon_R_04_LOD2.glb,14236
2583518027,2583518027.blk_export,Remielle_Cannon_L_02_LOD1.glb,23892
2583518027,2583518027.blk_export,Remielle_Face_LOD2.glb,86620
2583518027,2583518027.blk_export,Remielle_Cannon_R_04.glb,33480
2583518027,2583518027.blk_export,Remielle_Cannon_R_03_LOD2.glb,14232
2583518027,2583518027.blk_export,Remielle_Cannon_R_01_LOD1.glb,23876
2583518027,2583518027.blk_export,Remielle_Cannon_R_02_LOD1.glb,23888
2583518027,2583518027.blk_export,Remielle_Cannon_R_01.glb,33460
2583518027,2583518027.blk_export,Remielle_Cannon_L_01_LOD1.glb,23876
2583518027,2583518027.blk_export,Remielle_Floater_02.glb,243196
2583518027,2583518027.blk_export,Remielle_Hair.glb,835396
2583518027,2583518027.blk_export,Remielle_Cannon_R_03_LOD1.glb,23888
2583518027,2583518027.blk_export,Remielle_Cannon_L_01.glb,33460
2583518027,2583518027.blk_export,Remielle_Eyebrow_LOD1.glb,9388
2583518027,2583518027.blk_export,Remielle_Face_LOD1.glb,295208
2583518027,2583518027.blk_export,Remielle_Cannon_L_04_LOD1.glb,23900
2583518027,2583518027.blk_export,Remielle_Cannon_R_01_LOD2.glb,14216
2583518027,2583518027.blk_export,Remielle_Floater_02_LOD1.glb,166376
2583518027,2583518027.blk_export,Remielle_Cannon_L_03.glb,33480
2583518027,2583518027.blk_export,Remielle_Cannon_R_02_LOD2.glb,14232
2583518027,2583518027.blk_export,Remielle_Cannon_L_03_LOD1.glb,23888
2583518027,2583518027.blk_export,Remielle_Cannon_L_04_LOD2.glb,14244
2583518027,2583518027.blk_export,Remielle_Cannon_L_03_LOD2.glb,14232
2583518027,2583518027.blk_export,Remielle_Cannon_R_02.glb,33476
2583518027,2583518027.blk_export,Remielle_Cannon_R_03.glb,33476
2583518027,2583518027.blk_export,Remielle_Cannon_L_02.glb,33480
